Deaths,Confirmed,Year,Month,Country_Name,Death_Rate,yyyy_mm
7,275,2020,5,Guatemala,0.0255,2020/05
0,45,2020,3,Guernsey,0.0,2020/03
13,202,2020,4,Guernsey,0.0644,2020/04
0,5,2020,5,Guernsey,0.0,2020/05
0,16,2020,3,Guinea,0.0,2020/03
7,1335,2020,4,Guinea,0.0052,2020/04
4,658,2020,5,Guinea,0.0061,2020/05
0,8,2020,3,Guinea-Bissau,0.0,2020/03
1,69,2020,4,Guinea-Bissau,0.0145,2020/04
1,431,2020,5,Guinea-Bissau,0.0023,2020/05
1,8,2020,3,Guyana,0.125,2020/03
7,67,2020,4,Guyana,0.1045,2020/04
2,18,2020,5,Guyana,0.1111,2020/05
0,15,2020,3,Haiti,0.0,2020/03
6,61,2020,4,Haiti,0.0984,2020/04
6,53,2020,5,Haiti,0.1132,2020/05
0,6,2020,3,Holy See,0.0,2020/03
0,4,2020,4,Holy See,0.0,2020/04
0,2,2020,5,Holy See,0.0,2020/05
2,139,2020,3,Honduras,0.0144,2020/03
64,599,2020,4,Honduras,0.1068,2020/04
39,947,2020,5,Honduras,0.0412,2020/05
15,447,2020,3,Hungary,0.0336,2020/03
297,2328,2020,4,Hungary,0.1276,2020/04
93,438,2020,5,Hungary,0.2123,2020/05
2,1086,2020,3,Iceland,0.0018,2020/03
